word,yomi,syllables,season
鰆,さわら,3,spring
三月,さんがつ,4,spring
三月十日,さんがつとおか,7,spring
三月菜,さんがつな,5,spring
三鬼忌,さんきき,4,spring
山帰来の花,さんきらいのはな,8,spring
山楂子の花,さんざしのはな,7,spring
山茱萸の花,さんしゅうのはな,7,spring
山椒の芽,さんしょうのめ,6,spring
座禅草,ざぜんそう,5,spring
残花,ざんか,3,spring
残雪,ざんせつ,4,spring
汐干狩,しおひがり,5,spring
望潮,しおまねき,5,spring
四月,しがつ,3,spring
四月馬鹿,しがつばか,5,spring
樒の花,しきみのはな,6,spring
シクラメン,しくらめん,5,spring
蜆,しじみ,3,spring
蜆汁,しじみじる,5,spring
下萌,したもえ,4,spring
枝垂桜,しだれざくら,6,spring
しどみの花,しどみのはな,6,spring
芝桜,しばざくら,5,spring
芝桜,しばざくら,5,spring
芝焼く,しばやく,4,spring
霜くすべ,しもくすべ,5,spring
謝肉祭,しゃにくさい,5,spring
石鹸玉,しゃぼんだま,5,spring
修二会,しゅにえ,3,spring
春陰,しゅんいん,4,spring
春菊,しゅんぎく,4,spring
春暁,しゅんぎょう,4,spring
春月,しゅんげつ,4,spring
春光,しゅんこう,4,spring
春社,しゅんしゃ,3,spring
春愁,しゅんしゅう,4,spring
春塵,しゅんじん,4,spring
春昼,しゅんちゅう,4,spring
春潮,しゅんちょう,4,spring
春泥,しゅんでい,4,spring
春闘,しゅんとう,4,spring
春分,しゅんぶん,4,spring
春分の日,しゅんぶんのひ,6,spring
春風,しゅんぷう,4,spring
春服,しゅんぷく,4,spring
春眠,しゅんみん,4,spring
春雷,しゅんらい,4,spring
春蘭,しゅんらん,4,spring
聖霊会,しょうりょうえ,5,spring
松露,しょうろ,3,spring
昭和の日,しょうわのひ,5,spring
植樹祭,しょくじゅさい,5,spring
白魚,しらうお,4,spring
白樺の花,しらかばのはな,7,spring
白子干,しらすぼし,5,spring
白酒,しろざけ,4,spring
蜃気楼,しんきろう,5,spring
地虫穴を出づ,じむしあなをいづ,8,spring
十三詣,じゅうさんまいり,7,spring
受験,じゅけん,3,spring
受難節,じゅなんせつ,5,spring
常楽会,じょうらくえ,5,spring
沈丁花,じんちょうげ,5,spring
酸葉,すいば,3,spring
杉菜,すぎな,3,spring
杉の花,すぎのはな,5,spring
末黒の芒,すぐろのすすき,7,spring
鈴懸の花,すずかけのはな,7,spring
雀の子,すずめのこ,5,spring
雀の巣,すずめのす,5,spring
スターリン忌,すたーりんき,6,spring
巣立鳥,すだちどり,5,spring
